curl_version,curl_release_date,nixpkgs_commit,nixpkgs_commit_date
7.14.0,May 16 2005,a450978f2699a7e2fe799ba8e89b364584ed76ff,2005-06-17
7.13.2,Apr 4 2005,,
7.13.1,Mar 4 2005,,
7.13.0,Feb 1 2005,,
7.12.3,Dec 20 2004,,
7.12.2,Oct 18 2004,,
7.12.1,Aug 10 2004,,
7.12.0,Jun 2 2004,f063d8c4db4e0b2a0fb994a64c567ec5270fa4fe,2004-08-03
7.11.2,Apr 26 2004,,
7.11.1,Mar 19 2004,5941f66f0e76cadbda30b3240ba00b30ea365ac7,2004-03-19
7.11.0,Jan 22 2004,,
7.10.8,Nov 1 2003,,
7.10.7,Aug 15 2003,,
7.10.6,Jul 28 2003,,
7.10.5,May 19 2003,,
7.10.4,Apr 2 2003,,
7.10.3,Jan 14 2003,,
7.10.2,Nov 18 2002,,
7.10.1,Oct 11 2002,,
7.9.8,Jun 13 2002,,
7.9.7,May 10 2002,,
7.9.6,Apr 14 2002,,
7.9.5,Mar 7 2002,,
7.9.4,Mar 4 2002,,
7.9.3,Jan 23 2002,,
7.9.2,Dec 5 2001,,
7.9.1,Nov 4 2001,,
7.8.1,Aug 20 2001,,
7.7.3,May 4 2001,,
7.7.2,Apr 22 2001,,
7.7.1,Apr 3 2001,,
7.6.1,Feb 9 2001,,
7.5.2,Jan 4 2001,,
7.5.1,Dec 11 2000,,
7.4.2,Nov 15 2000,,
7.4.1,Oct 16 2000,,
7.2.1,Aug 31 2000,,
7.1.1,Aug 21 2000,,
6.5.2,Mar 21 2000,,
6.5.1,Mar 20 2000,,
6.3.1,Nov 23 1999,,
5.9.1,Jul 30 1999,,
5.7.1,Apr 23 1999,,
5.5.1,Jan 27 1999,,
5.2.1,Dec 14 1998,,
4.8.4,Sep 20 1998,,
4.8.3,Sep 7 1998,,
4.8.2,Aug 14 1998,,
4.8.1,Aug 7 1998,,
4.5.1,Jun 12 1998,,
